0
note,1304,2
note,1739,0
note,2174,2
note,2609,2
note,2717,2
note,2826,2
note,2935,2
note,3043,2
note,3478,4
note,3913,6
rotate,4348,1
note,4783,11
note,5217,9
note,5652,11
note,6087,11
note,6196,11
note,6304,11
note,6413,11
note,6522,11
note,6957,12
note,7391,13
rotate,7826,0
note,8261,8
note,8696,10
note,9130,8
note,9565,8
note,9674,8
note,9783,8
note,9891,8
note,10000,8
note,10435,7
note,10870,6
rotate,11304,0
note,11522,1
note,11739,1
note,12174,30
note,12609,28
note,13043,26
drag,13478,13913,24,20,-1
drag,13913,14348,20,24,1
drag,14348,14783,24,20,-1
rotate,14783,0
drag,15217,16087,25,0,1
note,16522,0
drag,16957,17826,0,7,1
note,18261,7
note,18478,7
drag,18696,19565,7,14,1
note,20000,14
drag,20435,21304,14,21,1
note,21739,21
note,21957,21
drag,22174,23043,21,14,-1
note,23478,14
drag,23913,24783,14,7,-1
note,25217,7
note,25435,7
drag,25652,26522,7,30,-1
note,26957,30
drag,27391,28043,30,23,-1
note,28261,23
note,28406,23
note,28551,23
note,28696,21
note,28841,21
note,28986,21
note,29130,21
note,29565,22
note,30000,23
note,30435,24
note,30652,24
note,30870,24
note,31304,25
note,31739,26
note,32174,27
note,32609,26
note,33043,25
note,33478,24
note,33913,23
rotate,34348,0
note,34783,18
rotate,35217,1
note,35652,23
note,36087,20
note,36522,21
note,36957,22
note,37391,23
note,37609,23
note,37826,23
note,38261,24
note,38696,25
note,39130,26
note,39565,25
note,40000,24
note,40435,23
note,40870,22
rotate,41304,0
rotate,41739,1
rotate,42174,0
rotate,42609,1
note,43043,22
note,43261,20
note,43370,20
note,43478,20
note,43696,19
note,43913,18
note,44348,17
note,44565,17
note,44783,16
note,45109,15
note,45217,15
note,45435,15
note,45652,14
note,45870,13
note,46087,12
note,46196,12
note,46304,12
note,46522,11
note,46739,12
note,46957,13
note,47174,14
note,47391,15
note,47826,16
note,48043,16
drag,48261,48696,15,8,-1
drag,49130,49565,8,1,-1
note,50000,1
note,50217,2
note,50435,3
note,50652,4
note,50870,5
rotate,51304,1
rotate,51739,0
rotate,52174,1
drag,52609,53478,10,20,1
note,53696,19
note,53913,18
note,54130,17
note,54348,16
note,54783,15
note,55000,15
rotate,55217,0
note,55652,10
rotate,56087,1
note,56522,15
drag,56957,57826,15,22,1
note,58261,22
note,58696,24
note,58913,26
note,59130,28
note,59348,30
rotate,59565,1
drag,60435,61304,4,11,1
note,61739,11
note,62174,13
note,62391,15
note,62609,17
note,62826,19
rotate,63043,0
note,63478,14
drag,63913,64783,14,7,-1
note,65217,7
note,65652,5
note,65870,3
note,66087,1
note,66304,30
rotate,66522,0
drag,67391,68261,25,18,-1
note,68696,18
note,69130,16
note,69348,14
note,69565,12
note,69783,10
rotate,70000,0
note,70435,5
rotate,70870,1
rotate,71304,0
rotate,71739,1
rotate,72174,0
rotate,72609,1
rotate,73043,0
rotate,73478,1
rotate,73913,0
rotate,74348,1
rotate,74783,0
rotate,75217,1
rotate,75652,0
rotate,76087,1
rotate,76522,0
rotate,76957,1
rotate,77391,0
rotate,77826,1
rotate,78261,1
rotate,78696,1
rotate,79130,1
rotate,79565,0
rotate,80000,0
rotate,80435,0
rotate,80870,0
drag,81304,82609,10,25,1
note,83043,25
note,83261,26
note,83478,27
note,83696,28
note,83913,29
note,84348,29
drag,85652,86522,2,2,1
drag,87391,88261,5,5,1
drag,89130,90000,8,8,1
drag,90870,91739,5,5,1
drag,92609,93478,8,8,1
drag,94348,95217,11,11,1
drag,96087,96957,14,14,1
drag,97826,98696,11,11,1
note,99130,11
rotate,99565,1
note,100435,16
note,100870,16
rotate,101304,1
note,102174,21
note,102609,21
rotate,103043,0
note,103913,16
note,104348,16
rotate,104783,1
drag,105652,106422,21,21,1
rotate,106522,1
drag,107391,108161,25,25,1
rotate,108261,0
drag,109130,109900,21,21,1
rotate,110000,0
drag,110435,111304,16,16,1
note,111739,16
note,112174,13
note,112609,11
