-1400
note,4687,5
note,6080,5
note,7302,5
note,8667,5
note,10000,5
note,11292,7
note,12623,9
note,13914,11
rotate,15204,1
rotate,16494,0
rotate,17785,1
rotate,19118,0
rotate,20452,1
rotate,21742,0
drag,23033,24323,11,17,1
drag,25613,26904,17,11,-1
drag,28194,30129,13,19,1
rotate,30775,1
rotate,32065,0
note,33355,19
note,33678,19
note,34000,19
note,34646,21
note,34968,21
note,35291,21
note,35936,21
note,36401,23
note,36866,25
note,37331,27
note,37796,29
note,38262,1
note,38727,3
rotate,39192,0
note,39672,29
rotate,40632,1
note,41592,3
rotate,42552,0
note,43032,29
note,43497,29
rotate,44427,1
drag,45358,46288,3,3,1
drag,47218,48148,3,8,1
note,48613,8
drag,49079,50009,8,3,-1
note,50474,3
note,50939,5
note,51404,7
note,51869,9
note,52334,11
rotate,52799,1
rotate,53730,0
drag,54660,56055,11,17,1
note,56520,17
note,56985,18
note,57451,19
note,58381,20
note,58613,21
note,58846,22
note,59104,23
note,59344,24
note,59584,25
note,59824,24
note,60064,23
note,60304,22
rotate,60784,0
rotate,61264,1
drag,62224,62704,21,26,1
drag,63169,63634,26,21,-1
drag,64099,65030,21,16,-1
rotate,65030,0
note,65960,11
note,66192,12
note,66425,13
note,66657,14
note,66890,15
note,67123,16
note,67355,17
note,67588,18
rotate,67820,1
note,68053,23
note,68518,18
rotate,68751,1
rotate,69216,0
